,company_name,fund_code,fund_name,number_of_participants,unit_value_change_ytd_pct,bik_pct,predicted_bik_pct,report_date,fund_type,company_short,relative_change
896,Allianz Lietuva gyvybės draudimas UAB,AVI-03/09,Allianz D1 2003-2009 tikslinės grupės pensijų fondas,1284,-8.19,,,2025-03-31,2003-2009,Allianz,-8.19
84,Allianz Lietuva gyvybės draudimas UAB,AVI-03/09,Allianz D1 2003-2009 tikslinės grupės pensijų fondas,1320,-3.93,,,2025-06-30,2003-2009,Allianz,4.640019
226,Allianz Lietuva gyvybės draudimas UAB,AVI-03/09,Allianz D1 2003-2009 tikslinės grupės pensijų fondas,2417,4.69,,,2025-09-30,2003-2009,Allianz,8.972633
702,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,20039,-4.8633933,1.0,1.0,2020-03-31,1954-1960,Allianz,-4.8633933
980,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,19417,-1.5585392,1.0,1.0,2020-06-30,1954-1960,Allianz,3.4738064
486,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,18650,0.4600507,1.0,1.0,2020-09-30,1954-1960,Allianz,2.0505428
1020,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,17810,2.5068069,1.0,1.0,2020-12-31,1954-1960,Allianz,2.0373821
74,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,17264,0.7418941,0.86,,2021-03-31,1954-1960,Allianz,0.7418941
838,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,16611,2.1524088,0.86,,2021-06-30,1954-1960,Allianz,1.400125
34,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,15501,2.601209,0.86,,2021-09-30,1954-1960,Allianz,0.43934584
526,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,14478,4.0483603,0.86,,2021-12-31,1954-1960,Allianz,1.4104605
566,UAGDPB „Aviva Lietuva“,AVI-54/60,Aviva B 1954–1960 tikslinės grupės pensijų fondas,14075,-3.5123239,0.72,,2022-03-31,1954-1960,Allianz,-3.512324
398,Allianz Lietuva gyvybės draudimas UAB,AVI-54/60,Allianz B 1954–1960 tikslinės grupės pensijų fondas,38866,-8.767606,0.72,,2022-06-30,1954-1960,Allianz,-5.446583
358,Allianz Lietuva gyvybės draudimas UAB,AVI-54/60,Allianz B 1954–1960 tikslinės grupės pensijų fondas,12438,-10.369719,0.72,,2022-09-30,1954-1960,Allianz,-1.756078
216,Allianz Lietuva gyvybės draudimas UAB,AVI-54/60,Allianz B 1954–1960 tikslinės grupės pensijų fondas,11307,-10.387324,0.72,,2022-12-31,1954-1960,Allianz,-0.01964569
